Label	Type	URI
Arthur W. Diamond Law Library, Columbia University	local	http://id.library.columbia.edu/term/8782e5ad-f6c8-4b15-baea-3511a83d8179
Art Properties, Columbia University	local	http://id.library.columbia.edu/term/067ebe3c-c669-44df-929b-9e24cbaec902
Augustus C. Long Health Sciences Library, Columbia University	local	http://id.library.columbia.edu/term/ad20ac6d-4507-4995-82d0-5618e27aa890
Avery Architectural & Fine Arts Library, Columbia University	local	http://id.library.columbia.edu/term/12c8f9a0-9a61-4cce-a09a-ceeb7ddf4f06
Barnard College Library	local	http://id.library.columbia.edu/term/4ff8bec8-6d8c-460c-8d77-006805e98778
Burke Library at Union Theological Seminary, Columbia University	local	http://id.library.columbia.edu/term/4f175cc6-1394-49b9-a411-2fe143265d43
Butler Library, Columbia University	local	http://id.library.columbia.edu/term/4fbd48a4-130b-4a5c-9949-0e8dc864af94
Columbia Center for Oral History, Columbia University	local	http://id.library.columbia.edu/term/cd34331d-899b-444a-85c4-211e045fc2ea
C.V. Starr East Asian Library, Columbia University	local	http://id.library.columbia.edu/term/d0642664-03aa-4dc4-8579-a9b04b23960f
Gabe M. Wiener Music & Arts Library, Columbia University	local	http://id.library.columbia.edu/term/7e0df318-f285-4ec2-9cdd-67ecd049e416
Rare Book & Manuscript Library, Columbia University	local	http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f
Science and Engineering Library	local	http://id.library.columbia.edu/term/b841a153-369c-47c2-9027-0dda4cc09c6c
University Archives, Columbia University	local	http://id.library.columbia.edu/term/993db1bc-2347-4b0d-ab1c-d5714ec82683
