Title	Creator	Contributor	Subject	Form	FormMezzanine	Genre	GenreMezzanine	Language	Location	CreatorType	CreatorRole	ContributorType	ContributorRole	Type	DateNote	Extent	Notes	Box	Folder	Collection	Series	Subseries	Identifier
Harrison, Hubert H. to Ernest L. Crandall, 17 March 1922 : typed letter, signed	Harrison, Hubert	Crandall, Ernest L., -1950	African American political activists;African American authors	correspondence	correspondence	typescripts	typescripts	Spanish	Avery Architectural & Fine Arts Library, Columbia University	personal	Correspondent	personal	Correspondent	text	17 March 1922	1 item (2 pages)	With autograph note signed by Hubert H. Harrison, 1924	Box 2	Folder 10	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	hubert_h_harrison_papers_017
Harrison, Hubert H. to Ferdinand Q. Morton, 19 November 1921 : autograph letter, signed	Harrison, Hubert	Morton, Ferdinand Q.	African American political activists;African American authors	correspondence	correspondence	autographs (manuscripts)	autographs	German	Barnard College Library	personal	Correspondent	personal	Correspondent	text	19 November 1921	1 item (2 pages)		Box 2	Folder 11	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	hubert_h_harrison_papers_018
Harrison, Hubert H. to Fred R. Moore, undated : autograph letter, signed	Harrison, Hubert	Moore, Fred R. (Frederick Randolph), 1857-1943	African American political activists;African American authors	correspondence	correspondence	autographs (manuscripts)	autographs	English	Burke Library at Union Theological Seminary, Columbia University	personal	Correspondent	personal	Correspondent	text	1893-1927	1 item (2 pages)	Date inferred from inclusive dates of archival collection	Box 2	Folder 12	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	hubert_h_harrison_papers_019
Harrison, Hubert H. to J.O.H. Cosgrave, Editor, The Sunday World, 13 November 1921 : autograph letter, signed	Harrison, Hubert	Cosgrave, John O'Hara, I	African American political activists;African American authors;Editors	correspondence	correspondence	autographs (manuscripts)	autographs	English	Butler Library, Columbia University	personal	Correspondent	personal	Correspondent	text	13 November 1921	1 item (2 pages)		Box 2	Folder 16	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	hubert_h_harrison_papers_023
Harrison, Hubert H., Associate Editor, to Lothrop Stoddard, 24 June 1920 : typed letter	Harrison, Hubert	Stoddard, Lothrop, 1883-1950	African American political activists;African American authors;Editors	correspondence	correspondence	typescripts	typescripts	German	Columbia Center for Oral History, Columbia University	personal	Correspondent	personal	Correspondent	text	24 June 1920	1 item (1 page)		Box 2	Folder 19	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	hubert_h_harrison_papers_026
Harrison, Hubert H., Associate Editor, to Lucian B. Watkins, 2 January 1920 : autograph letter, signed	Harrison, Hubert	Watkins, Lucian Bottow, 1878-	African American political activists;African American authors;Editors	correspondence	correspondence	autographs (manuscripts)	autographs	English	C.V. Starr East Asian Library, Columbia University	personal	Correspondent	personal	Correspondent	text	2 January 1920	1 item (1 page)		Box 2	Folder 20	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	hubert_h_harrison_papers_032
Harrison, Hubert H., Editor, to W.E.B. DuBois, 18 November 1920 : typed letter	Harrison, Hubert	DuBois, W.E.B. (William Edward Burghardt), 1868-1963	African American political activists;African American authors;Editors	correspondence	correspondence	typescripts	typescripts	English	Rare Book & Manuscript Library, Columbia University	personal	Correspondent	personal	Correspondent	text	18 November 1920	1 item (1 page)		Box 2	Folder 25	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	hubert_h_harrison_papers_039
Class Book : An American History for Public Schools ; The Art of the Short Story, 1920-1926 : autograph manuscript draft (unpublished)	Grimké, Angelina		Social history;Social classes;Short story	manuscripts (documents)	manuscripts	autographs (manuscripts);drafts (documents)	autographs;drafts	English	Augustus C. Long Health Sciences Library, Columbia University	personal	Author			text	1920-1926	1 volume (124 pages)	Mostly blank pages;Pages 12-21, 56-57, 76-77, 92-95, 102-111 wanting from digital item	Box 4	Folder 34	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	hubert_h_harrison_papers_063
Disarmament and the Darker Races, December 1921 : autograph manuscript draft / Hira Lal Ganesha	Dunbar-Nelson, Alice		Disarmament;Race relations	manuscripts (documents)	manuscripts	autographs (manuscripts);drafts (documents)	autographs;drafts	English	Avery Architectural & Fine Arts Library, Columbia University	personal	Author			text	December 1921	1 item (4 pages)		Box 4	Folder 43	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	hubert_h_harrison_papers_064
Immigration and the Negro, undated : autograph manuscript notes	Smith, Bessie		Emigration and immigration;African Americans	manuscripts (documents)	manuscripts	autographs (manuscripts);notes (documents)	autographs;notes	German	Butler Library, Columbia University	personal	Author			text	1893-1927	1 item (leaf 2 only)	Page 2 only;Date inferred from inclusive dates of archival collection	Box 5	Folder 1	Hubert H. Harrison papers	Series II: Writings by Hubert H. Harrison	Sub-series 2.1: A-Z Writings	hubert_h_harrison_papers_081
